sentence	negated
Not all people have had the opportunities you have had.	Every person has had the opportunities you have had.
Not all people have had the opportunities you have had.	All people have not had the opportunities you have had.
Not all people have had the opportunities you have had.	All people have had the opportunities you have had.
Not all people have had the opportunities you have had.	No one has had the opportunities you have had.
I saw nothing at all.	I saw something.
Not often do we see her lose her cool like that.	We see her lose her cool like that often.
Not often do we see her lose her cool like that.	Sometimes we do not see her lose her cool like that.
Not one person supported the proposal.	Some people supported the proposal.
Not one person supported the proposal.	Everyone supported the proposal.
Not one person supported the proposal.	No one did not support the proposal.
Not one person supported the proposal.	One person supported the proposal.
Not one person supported the proposal.	Two people supported the proposal.
Not one person supported the proposal.	Twenty people supported the proposal.
They had found not one mistake.	They had not found more than one mistake.
They had found not one mistake.	They had found less than one mistake.
They had found not one mistake.	They had not found two mistakes.
They had found not one mistake.	They had not found even one mistake.
They had found not one mistake.	They had not found any mistakes.
Not one, not two, but three of them made the mistake.	Three of them did not make the mistake.
Not one, not two, but three of them made the mistake.	More than three of them made the mistake.
Not one, not two, but three of them made the mistake.	Less than three of them made the mistake.
Not one, not two, but three of them made the mistake.	Less than two of them made the mistake.
Not one, not two, but three of them made the mistake.	One of them did not make the mistake.
Not one, not two, but three of them made the mistake.	Two of them did not make the mistake.
Not two years ago this company was ranked in the top ten.	Less than two years ago this company was not ranked in the top ten.
Not two years ago this company was ranked in the top ten.	Two years ago this company was not ranked in the top ten.
Not two years ago this company was ranked in the top ten.	One year ago this company was ranked in the top ten.
He was here not ten minutes ago.	He was not here less than ten minutes ago.
He was here not ten minutes ago.	He was not here ten minutes ago.
He was here not ten minutes ago.	He was here one minute ago.
His speech had caused not a little confusion.	His speech had caused a little confusion.
His speech had caused not a little confusion.	His speech had not caused confusion.
His speech had caused not a little confusion.	His speech had not caused much confusion.
A mistake would be costly and not a little embarrassing.	A mistake would not be costly and a little embarassing
A mistake would be costly and not a little embarrassing.	A mistake would not be costly and very embarassing
A mistake would be costly and not a little embarrassing.	A mistake would not be costly and not a little embarassing
Not even Ed approved of the plan	Even Ed approved of the plan.
