premise	hypothesis	label
You're not fat.	You're not thin.	1
You're not fat.	You're fat.	1
You're not fat.	You're thin.	0
You're not fat.	You're not nonfat.	1
You're not fat.	You're nonfat.	0
It's not healthy.	It's not unhealthy.	1
It's not healthy.	It's healthy.	1
It's not healthy.	It's unhealthy.	0
That's not acceptable.	That's not unacceptable.	1
That's not acceptable.	That's acceptable.	1
That's not acceptable.	That's unacceptable.	0
I'm not guilty.	I'm not innocent.	1
I'm not guilty.	I'm guilty.	1
I'm not guilty.	I'm innocent.	0
That's not natural.	That's not unnatural.	1
That's not natural.	That's natural.	1
That's not natural.	That's unnatural.	0
That's not natural.	That's not artificial.	1
That's not natural.	That's artificial.	0
That's not natural.	That's not supernatural.	1
That's not natural.	That's supernatural.	0
That's not natural.	That's not sharp.	1
That's not natural.	That's sharp.	0
This is not a good idea.	This is not a bad idea.	1
This is not a good idea.	This is a good idea.	1
This is not a good idea.	This is a bad idea.	0
This is not a good idea.	This is not an evil idea.	1
This is not a good idea.	This is an evil idea.	0
Something is not right.	Something is not incorrect.	1
Something is not right.	Something is right.	1
Something is not right.	Something is incorrect.	0
Something is not right.	Something is not wrong.	1
Something is not right.	Something is wrong.	0
It's not a good idea.	It's not a bad idea.	1
It's not a good idea.	It's a good idea.	1
It's not a good idea.	It's a bad idea.	0
It's not a good idea.	It's not an evil idea.	1
It's not a good idea.	It's an evil idea.	0
It's not fair.	It's not unfair.	1
It's not fair.	It's fair.	1
It's not fair.	It's unfair.	0
It's not fair.	It's not foul.	1
It's not fair.	It's foul.	0
That's not fair.	That's not unfair.	1
That's not fair.	That's fair.	1
That's not fair.	That's unfair.	0
That's not fair.	That's not foul.	1
That's not fair.	That's foul.	0
That is not fair.	That is not unfair.	1
That is not fair.	That is fair.	1
That is not fair.	That is unfair.	0
That is not fair.	That is not foul.	1
That is not fair.	That is foul.	0
It's not polite.	It's not impolite.	1
It's not polite.	It's polite.	1
It's not polite.	It's impolite.	0
It's not polite.	It's not uncivil.	1
It's not polite.	It's uncivil.	0
That is not the same.	That is not the other.	1
That is not the same.	That is the same.	1
That is not the same.	That is the other.	0
That is not the same.	That is not different.	1
That is not the same.	That is different.	0
That is not the same.	That is not unlike.	1
That is not the same.	That is unlike.	0
It's not good for you.	It's not bad for you.	1
It's not good for you.	It's good for you.	1
It's not good for you.	It's bad for you.	0
It's not good for you.	It's not evil for you.	1
It's not good for you.	It's evil for you.	0
It's not important.	It's not unimportant.	1
It's not important.	It's important.	1
It's not important.	It's unimportant.	0
It's not important.	It's not insignificant.	1
It's not important.	It's insignificant.	0
It's not important.	It's not noncrucial.	1
It's not important.	It's noncrucial.	0
It is not safe.	It is not dangerous.	1
It is not safe.	It is safe.	1
It is not safe.	It is dangerous.	0
It is not safe.	It is not out.	1
It is not safe.	It is out.	0
I'm not sure.	I'm not uncertain.	1
I'm not sure.	I'm sure.	1
I'm not sure.	I'm uncertain.	0
I'm not sure.	I'm not unsure.	1
I'm not sure.	I'm unsure.	0
It's not likely.	It's not unlikely.	1
It's not likely.	It's likely.	1
It's not likely.	It's unlikely.	0
It's not likely.	It's not improbable.	1
It's not likely.	It's improbable.	0
It's not safe.	It's not dangerous.	1
It's not safe.	It's safe.	1
It's not safe.	It's dangerous.	0
It's not safe.	It's not out.	1
It's not safe.	It's out.	0
This is not right.	This is not incorrect.	1
This is not right.	This is right.	1
This is not right.	This is incorrect.	0
This is not right.	This is not wrong.	1
This is not right.	This is wrong.	0
He's not dangerous.	He's not safe.	1
He's not dangerous.	He's dangerous.	1
He's not dangerous.	He's safe.	0
I'm not serious.	I'm not frivolous.	1
I'm not serious.	I'm serious.	1
I'm not serious.	I'm frivolous.	0
I'm not serious.	I'm not playful.	1
I'm not serious.	I'm playful.	0
Something's not right.	Something's not incorrect.	1
Something's not right.	Something's right.	1
Something's not right.	Something's incorrect.	0
Something's not right.	Something's not wrong.	1
Something's not right.	Something's wrong.	0
It's not right.	It's not incorrect.	1
It's not right.	It's right.	1
It's not right.	It's incorrect.	0
It's not right.	It's not wrong.	1
It's not right.	It's wrong.	0
It's not possible.	It's not impossible.	1
It's not possible.	It's possible.	1
It's not possible.	It's impossible.	0
It's not possible.	It's not actual.	1
It's not possible.	It's actual.	0
That is not true.	That is not false.	1
That is not true.	That is true.	1
That is not true.	That is false.	0
That is not true.	That is not untruthful.	1
That is not true.	That is untruthful.	0
That's not possible.	That's not impossible.	1
That's not possible.	That's possible.	1
That's not possible.	That's impossible.	0
That's not possible.	That's not actual.	1
That's not possible.	That's actual.	0
That's not good.	That's not bad.	1
That's not good.	That's good.	1
That's not good.	That's bad.	0
That's not good.	That's not evil.	1
That's not good.	That's evil.	0
It's not real.	It's not unreal.	1
It's not real.	It's real.	1
It's not real.	It's unreal.	0
It's not real.	It's not nominal.	1
It's not real.	It's nominal.	0
It's not real.	It's not insubstantial.	1
It's not real.	It's insubstantial.	0
That's not necessary.	That's not unnecessary.	1
That's not necessary.	That's necessary.	1
That's not necessary.	That's unnecessary.	0
We do not have much time.	We do not have little time.	1
We do not have much time.	We have much time.	1
We do not have much time.	We have little time.	0
It is not possible.	It is not impossible.	1
It is not possible.	It is possible.	1
It is not possible.	It is impossible.	0
It is not possible.	It is not actual.	1
It is not possible.	It is actual.	0
That is not possible.	That is not impossible.	1
That is not possible.	That is possible.	1
That is not possible.	That is impossible.	0
That is not possible.	That is not actual.	1
That is not possible.	That is actual.	0
He's not right.	He's not incorrect.	1
He's not right.	He's right.	1
He's not right.	He's incorrect.	0
He's not right.	He's not wrong.	1
He's not right.	He's wrong.	0
She's not breathing.	She's not breathless.	1
She's not breathing.	She's breathing.	1
She's not breathing.	She's breathless.	0
That's not bad.	That's not good.	1
That's not bad.	That's bad.	1
That's not bad.	That's good.	0
I'm not sure I can relax.	I'm not uncertain I can relax.	1
I'm not sure I can relax.	I'm sure I can relax.	1
I'm not sure I can relax.	I'm uncertain I can relax.	0
I'm not sure I can relax.	I'm not unsure I can relax.	1
I'm not sure I can relax.	I'm unsure I can relax.	0
It's not relevant.	It's not irrelevant.	1
It's not relevant.	It's relevant.	1
It's not relevant.	It's irrelevant.	0
It's not natural.	It's not unnatural.	1
It's not natural.	It's natural.	1
It's not natural.	It's unnatural.	0
It's not natural.	It's not artificial.	1
It's not natural.	It's artificial.	0
It's not natural.	It's not supernatural.	1
It's not natural.	It's supernatural.	0
It's not natural.	It's not sharp.	1
It's not natural.	It's sharp.	0
That is not a good idea.	That is not a bad idea.	1
That is not a good idea.	That is a good idea.	1
That is not a good idea.	That is a bad idea.	0
That is not a good idea.	That is not an evil idea.	1
That is not a good idea.	That is an evil idea.	0
It's not good.	It's not bad.	1
It's not good.	It's good.	1
It's not good.	It's bad.	0
It's not good.	It's not evil.	1
It's not good.	It's evil.	0
That's not right.	That's not incorrect.	1
That's not right.	That's right.	1
That's not right.	That's incorrect.	0
That's not right.	That's not wrong.	1
That's not right.	That's wrong.	0
That's not a bad idea.	That's not a good idea.	1
That's not a bad idea.	That's a bad idea.	1
That's not a bad idea.	That's a good idea.	0
This is not healthy.	This is not unhealthy.	1
This is not healthy.	This is healthy.	1
This is not healthy.	This is unhealthy.	0
Oh, that's not good.	Oh, that's not bad.	1
Oh, that's not good.	Oh, that's good.	1
Oh, that's not good.	Oh, that's bad.	0
Oh, that's not good.	Oh, that's not evil.	1
Oh, that's not good.	Oh, that's evil.	0
No, that's not possible.	No, that's not impossible.	1
No, that's not possible.	No, that's possible.	1
No, that's not possible.	No, that's impossible.	0
No, that's not possible.	No, that's not actual.	1
No, that's not possible.	No, that's actual.	0
It's not clear.	It's not unclear.	1
It's not clear.	It's clear.	1
It's not clear.	It's unclear.	0
It's not clear.	It's not opaque.	1
It's not clear.	It's opaque.	0
It's not clear.	It's not ill-defined.	1
It's not clear.	It's ill-defined.	0
It's not clear.	It's not cloudy.	1
It's not clear.	It's cloudy.	0
WAILING He's not breathing.	WAILING He's not breathless.	1
WAILING He's not breathing.	WAILING He's breathing.	1
WAILING He's not breathing.	WAILING He's breathless.	0
This is not acceptable.	This is not unacceptable.	1
This is not acceptable.	This is acceptable.	1
This is not acceptable.	This is unacceptable.	0
Yeah, not bad.	Yeah, not good.	1
Yeah, not bad.	Yeah, bad.	1
Yeah, not bad.	Yeah, good.	0
Its not possible.	Its not impossible.	1
Its not possible.	Its possible.	1
Its not possible.	Its impossible.	0
Its not possible.	Its not actual.	1
Its not possible.	Its actual.	0
We've not much time.	We've not little time.	1
We've not much time.	We've much time.	1
We've not much time.	We've little time.	0
It's not bad, huh?	It's not good, huh?	1
It's not bad, huh?	It's bad, huh?	1
It's not bad, huh?	It's good, huh?	0
She's not available.	She's not unavailable.	1
She's not available.	She's available.	1
She's not available.	She's unavailable.	0
You're not serious?	You're not frivolous?	1
You're not serious?	You're serious?	1
You're not serious?	You're frivolous?	0
You're not serious?	You're not playful?	1
You're not serious?	You're playful?	0
It's not true.	It's not false.	1
It's not true.	It's true.	1
It's not true.	It's false.	0
It's not true.	It's not untruthful.	1
It's not true.	It's untruthful.	0
Yeah, that's not fair.	Yeah, that's not unfair.	1
Yeah, that's not fair.	Yeah, that's fair.	1
Yeah, that's not fair.	Yeah, that's unfair.	0
Yeah, that's not fair.	Yeah, that's not foul.	1
Yeah, that's not fair.	Yeah, that's foul.	0
I'm not happy.	I'm not unhappy.	1
I'm not happy.	I'm happy.	1
I'm not happy.	I'm unhappy.	0
He's not breathing.	He's not breathless.	1
He's not breathing.	He's breathing.	1
He's not breathing.	He's breathless.	0
This is not fair.	This is not unfair.	1
This is not fair.	This is fair.	1
This is not fair.	This is unfair.	0
This is not fair.	This is not foul.	1
This is not fair.	This is foul.	0
It is not true.	It is not false.	1
It is not true.	It is true.	1
It is not true.	It is false.	0
It is not true.	It is not untruthful.	1
It is not true.	It is untruthful.	0
You're not a bad guy after all.	You're not a good guy after all.	1
You're not a bad guy after all.	You're a bad guy after all.	1
You're not a bad guy after all.	You're a good guy after all.	0
It's not the same.	It's not the other.	1
It's not the same.	It's the same.	1
It's not the same.	It's the other.	0
It's not the same.	It's not different.	1
It's not the same.	It's different.	0
It's not the same.	It's not unlike.	1
It's not the same.	It's unlike.	0
Ah, he's not breathing.	Ah, he's not breathless.	1
Ah, he's not breathing.	Ah, he's breathing.	1
Ah, he's not breathing.	Ah, he's breathless.	0
It's not easy to explain.	It's not difficult to explain.	1
It's not easy to explain.	It's easy to explain.	1
It's not easy to explain.	It's difficult to explain.	0
It's not easy to explain.	It's not uneasy to explain.	1
It's not easy to explain.	It's uneasy to explain.	0
You are not serious.	You are not frivolous.	1
You are not serious.	You are serious.	1
You are not serious.	You are frivolous.	0
You are not serious.	You are not playful.	1
You are not serious.	You are playful.	0
He is not guilty.	He is not innocent.	1
He is not guilty.	He is guilty.	1
He is not guilty.	He is innocent.	0
She's not good.	She's not bad.	1
She's not good.	She's good.	1
She's not good.	She's bad.	0
She's not good.	She's not evil.	1
She's not good.	She's evil.	0
It's not bad.	It's not good.	1
It's not bad.	It's bad.	1
It's not bad.	It's good.	0
I was not wrong.	I was not correct.	1
I was not wrong.	I was wrong.	1
I was not wrong.	I was correct.	0
I was not wrong.	I was not right.	1
I was not wrong.	I was right.	0
It's not impossible.	It's not possible.	1
It's not impossible.	It's impossible.	1
It's not impossible.	It's possible.	0
No, he's not dead.	No, he's not alive.	1
No, he's not dead.	No, he's dead.	1
No, he's not dead.	No, he's alive.	0
I am not deaf.	I am not hearing.	1
I am not deaf.	I am deaf.	1
I am not deaf.	I am hearing.	0
But that's not possible.	But that's not impossible.	1
But that's not possible.	But that's possible.	1
But that's not possible.	But that's impossible.	0
But that's not possible.	But that's not actual.	1
But that's not possible.	But that's actual.	0
I was not busy.	I was not idle.	1
I was not busy.	I was busy.	1
I was not busy.	I was idle.	0
I'm not afraid.	I'm not unafraid.	1
I'm not afraid.	I'm afraid.	1
I'm not afraid.	I'm unafraid.	0
They're not real.	They're not unreal.	1
They're not real.	They're real.	1
They're not real.	They're unreal.	0
They're not real.	They're not nominal.	1
They're not real.	They're nominal.	0
They're not real.	They're not insubstantial.	1
They're not real.	They're insubstantial.	0
It's not uncommon.	It's not common.	1
It's not uncommon.	It's uncommon.	1
It's not uncommon.	It's common.	0
That's not the same thing.	That's not the other thing.	1
That's not the same thing.	That's the same thing.	1
That's not the same thing.	That's the other thing.	0
That's not the same thing.	That's not a different thing.	1
That's not the same thing.	That's a different thing.	0
That's not the same thing.	That's not an unlike thing.	1
That's not the same thing.	That's an unlike thing.	0
That is not acceptable.	That is not unacceptable.	1
That is not acceptable.	That is acceptable.	1
That is not acceptable.	That is unacceptable.	0
You're not afraid, are you?	You're not unafraid, are you?	1
You're not afraid, are you?	You're afraid, aren't you?	1
You're not afraid, are you?	You're unafraid, aren't you?	0
We're not open.	We're not shut.	1
We're not open.	We're open.	1
We're not open.	We're shut.	0
We're not open.	We're not closed.	1
We're not open.	We're closed.	0
We're not open.	We're not unreceptive.	1
We're not open.	We're unreceptive.	0
We're not open.	We're not covert.	1
We're not open.	We're covert.	0
That's not relevant.	That's not irrelevant.	1
That's not relevant.	That's relevant.	1
That's not relevant.	That's irrelevant.	0
They're not replaceable.	They're not irreplaceable.	1
They're not replaceable.	They're replaceable.	1
They're not replaceable.	They're irreplaceable.	0
You're not serious, are you?	You're not frivolous, are you?	1
You're not serious, are you?	You're serious, aren't you?	1
You're not serious, are you?	You're frivolous, aren't you?	0
You're not serious, are you?	You're not playful, are you?	1
You're not serious, are you?	You're playful, aren't you?	0
This is not the same thing.	This is not the other thing.	1
This is not the same thing.	This is the same thing.	1
This is not the same thing.	This is the other thing.	0
This is not the same thing.	This is not a different thing.	1
This is not the same thing.	This is a different thing.	0
This is not the same thing.	This is not an unlike thing.	1
This is not the same thing.	This is an unlike thing.	0
You're not afraid?	You're not unafraid?	1
You're not afraid?	You're afraid?	1
You're not afraid?	You're unafraid?	0
This girl's allergies are not ordinary.	This girl's allergies are not extraordinary.	1
This girl's allergies are not ordinary.	This girl's allergies are ordinary.	1
This girl's allergies are not ordinary.	This girl's allergies are extraordinary.	0
It is not fair.	It is not unfair.	1
It is not fair.	It is fair.	1
It is not fair.	It is unfair.	0
It is not fair.	It is not foul.	1
It is not fair.	It is foul.	0
Because it's not fair.	Because it's not unfair.	1
Because it's not fair.	Because it's fair.	1
Because it's not fair.	Because it's unfair.	0
Because it's not fair.	Because it's not foul.	1
Because it's not fair.	Because it's foul.	0
You're not sick, are you?	You're not well, are you?	1
You're not sick, are you?	You're sick, aren't you?	1
You're not sick, are you?	You're well, aren't you?	0
Is that not true?	Is that not false?	1
Is that not true?	Is that true?	1
Is that not true?	Is that false?	0
Is that not true?	Is that not untruthful?	1
Is that not true?	Is that untruthful?	0
That's not safe.	That's not dangerous.	1
That's not safe.	That's safe.	1
That's not safe.	That's dangerous.	0
That's not safe.	That's not out.	1
That's not safe.	That's out.	0
Because it's not safe.	Because it's not dangerous.	1
Because it's not safe.	Because it's safe.	1
Because it's not safe.	Because it's dangerous.	0
Because it's not safe.	Because it's not out.	1
Because it's not safe.	Because it's out.	0
She's not underage.	She's not major.	1
She's not underage.	She's underage.	1
She's not underage.	She's major.	0
But that's not relevant.	But that's not irrelevant.	1
But that's not relevant.	But that's relevant.	1
But that's not relevant.	But that's irrelevant.	0
That's not a good idea.	That's not a bad idea.	1
That's not a good idea.	That's a good idea.	1
That's not a good idea.	That's a bad idea.	0
That's not a good idea.	That's not an evil idea.	1
That's not a good idea.	That's an evil idea.	0
The Fuhrer is not dead.	The Fuhrer is not alive.	1
The Fuhrer is not dead.	The Fuhrer is dead.	1
The Fuhrer is not dead.	The Fuhrer is alive.	0
That's...not possible.	That's...not impossible.	1
That's...not possible.	That's...possible.	1
That's...not possible.	That's...impossible.	0
That's...not possible.	That's...not actual.	1
That's...not possible.	That's...actual.	0
I'm not unhappy.	I'm not happy.	1
I'm not unhappy.	I'm unhappy.	1
I'm not unhappy.	I'm happy.	0
I'm not unhappy.	I'm not euphoric.	1
I'm not unhappy.	I'm euphoric.	0
You see, I know that's not true.	You see, I know that's not false.	1
