premise,hypothesis,label,P-Verbal,P-Non-verbal,P-Analytic,P-Synthetic,P-Clausal,P-Sub-clausal,P-Ordinary,P-Meta-linguistic,Unnamed: 13,H-Verbal,H-Non-verbal,H-Analytic,H-Synthetic,H-Clausal,H-Sub-clausal,H-Ordinary,H-Meta-linguistic,Unnamed: 22,Construction,Construction Subtype,Indefinite quantifier change,Negator addition or deletion,Negator position change,Clause or sub-clause deletion,Negator token change,Comparative quantifier change,Focus particle change,Lexical change,Numerical quantifier change,Syntactical changes,Quantification
Not all people have had the opportunities you have had.,Some people have not had the opportunities you have had.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not all,1,0,1,0,0,0,0,0,0,0,1
Not all people have had the opportunities you have had.,Some people have had the opportunities you have had.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not all,1,1,0,0,0,0,0,0,0,0,1
Not all people have had the opportunities you have had.,Every person has had the opportunities you have had.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not all,1,1,0,0,0,0,0,0,0,0,1
Not all people have had the opportunities you have had.,Not every person has had the opportunities you have had.,entailment,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + quantifier,not all,1,0,0,0,0,0,0,0,0,0,1
Not all people have had the opportunities you have had.,All people have not had the opportunities you have had.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not all,0,0,1,0,0,0,0,0,0,0,1
Not all people have had the opportunities you have had.,All people have had the opportunities you have had.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not all,0,1,0,0,0,0,0,0,0,0,1
Not all people have had the opportunities you have had.,Not all people have had the opportunities you have not had.,neutral,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + quantifier,not all,0,1,0,0,0,0,0,0,0,0,1
Not all people have had the opportunities you have had.,No one has had the opportunities you have had.,contradiction,0,1,1,0,0,1,1,0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,not + quantifier,not all,1,0,0,0,0,0,0,0,0,0,1
I saw nothing at all.,I didn't see anything at all.,entailment,0,1,0,1,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,absolute negator,never,1,1,0,0,0,0,0,0,0,0,1
I saw nothing at all.,I saw something.,contradiction,0,1,0,1,0,1,1,0,,,,,,,,,,,absolute negator,never,1,0,0,0,0,0,0,0,0,0,1
I saw nothing at all.,I did not see something.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,absolute negator,never,1,1,0,0,0,0,0,0,0,0,1
Not often do we see her lose her cool like that.,We do not see her lose her cool like that often.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not all,0,0,1,0,0,0,0,0,0,0,1
Not often do we see her lose her cool like that.,She does not lose her cool like that often.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not all,0,0,1,1,0,0,0,0,0,0,1
Not often do we see her lose her cool like that.,We see her lose her cool like that often.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not all,0,1,0,0,0,0,0,0,0,0,1
Not often do we see her lose her cool like that.,Sometimes we see her lose her cool like that.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not all,1,1,0,0,0,0,0,0,0,0,1
Not often do we see her lose her cool like that.,Sometimes we do not see her lose her cool like that.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not all,1,0,1,0,0,0,0,0,0,0,1
